,Title,Suggested Duration,Address,Ratings,Transport
27,London Victoria Station,Suggested Duration Not Available,"Victoria Station Victoria Arcade, London SW1E 5ND England",Ratings Not Available,"['Hyde Park Corner', 'Green Park', 'Rental Cars']"
28,BT Tower (The British Telecom Tower),Suggested Duration Not Available,"B T Tower 60 Cleveland Mews, London W1T 4JZ England",Ratings Not Available,"['Goodge St', 'Warren St', 'Rental Cars']"
29,St. James's Palace,Suggested Duration:1-2 hours,"Marlborough Rd, St. James's, London SW1A 1BS England",4,"['Green Park', 'Piccadilly Circus', 'Rental Cars']"
30,2 Willow Road,Suggested Duration Not Available,"Flat 2 Willow Hall 2 Willow Road Hampstead, London NW3 1TR England",4.5,"['Morden', 'Rental Cars']"
31,Pitzhanger Manor & Gallery,Suggested Duration Not Available,"Walpole Park Mattock Lane Walpole Park Ealing, London W5 5EQ England",Ratings Not Available,"['Ealing Broadway', 'South Ealing', 'Rental Cars']"
32,St. Mary-le-Bow,Suggested Duration Not Available,"Cheapside, London EC2 England",4,"['Mansion House', ""St. Paul's"", 'Rental Cars']"
33,Lincoln's Inn,Suggested Duration Not Available,"Lincoln's Inn Fields, London WC2A 3TL England",Ratings Not Available,"['Chancery Lane', 'Holborn', 'Rental Cars']"
34,Battersea Power Station,Suggested Duration:2-3 hours,"188 Kirtling Street, Nine Elms, London SW8 5BN England",4,"['Hyde Park Corner', 'Knightsbridge', 'Rental Cars']"
35,Lambeth Palace,Suggested Duration Not Available,"Lambeth Palace Road, London SE1 7JU England",Ratings Not Available,"['Waterloo', 'Embankment', 'Rental Cars']"
36,Chiswick House,Suggested Duration Not Available,"Chiswick House Chiswick House Grounds Burlington Lane Chiswick, London W4 2RP England",Ratings Not Available,"['Turnham Green', 'Chiswick Park', 'Rental Cars']"
37,Inner Temple,Suggested Duration Not Available,"Inner Temple Temple, London EC4Y 7HL England",Ratings Not Available,"['Temple', 'Chancery Lane', 'Rental Cars']"
38,Michelin House,Suggested Duration Not Available,"81 Fulham Road Chelsea, London England",Ratings Not Available,"['Gloucester Road', 'Knightsbridge', 'Rental Cars']"
39,Marble Arch,Suggested Duration Not Available,"Park Lane, London W1H 7EJ England",Ratings Not Available,"['Marble Arch', 'Bond St', 'Rental Cars']"
40,Ranger's House,Suggested Duration Not Available,"Rangers House Chesterfield Walk, London SE10 8QX England",Ratings Not Available,"['North Greenwich', 'Canary Wharf', 'Rental Cars']"
41,Palace of Westminster,Suggested Duration Not Available,London SW1A 0AA England,Ratings Not Available,"['Waterloo', 'Embankment', 'Rental Cars']"
42,20 Fenchurch Street,Suggested Duration Not Available,"20 Fenchurch Street, London EC3M 3BY England",Ratings Not Available,"['Monument', 'Bank', 'Rental Cars']"
43,United Grand Lodge of England,Suggested Duration Not Available,"Freemasons Hall 60 Great Queen Street, London WC2B 5AZ England",Ratings Not Available,"['Holborn', 'Covent Garden', 'Rental Cars']"
44,Trinity House,Suggested Duration Not Available,"Tower Hill, London EC3N 4DH England",Ratings Not Available,"['Tower Hill', 'Tower Gateway', 'Rental Cars']"
45,Apothecaries' Hall,Suggested Duration Not Available,"Black Friars Lane, London England",Ratings Not Available,"['Blackfriars', ""St. Paul's"", 'Rental Cars']"
46,Fitzrovia Chapel,Suggested Duration:< 1 hour,"Fitzroy Place 2 Pearson Square, London W1T 3BF England",4.5,"['Goodge St', 'Oxford Circus', 'Rental Cars']"
47,Winchester Palace,Suggested Duration Not Available,"Clink Street, London SE1 9DG England",Ratings Not Available,"['London Bridge', 'Cannon St', 'Rental Cars']"
48,Stationers' Hall,Suggested Duration Not Available,"Stationers Hall Stationers Hall Court Ave Maria Lane, London EC4M 7DD England",Ratings Not Available,"[""St. Paul's"", 'Blackfriars', 'Rental Cars']"
49,St. Peter's Church Notting Hill,Suggested Duration Not Available,"90 Kensington Park Road, London W11 2PL England",Ratings Not Available,"['Notting Hill Gate', 'Holland Park', 'Rental Cars']"
50,St Pancras Renaissance Hotel,Suggested Duration Not Available,"Euston Road Kings Cross, London NW1 2AR England",Ratings Not Available,"[""King's Cross St. Pancras"", 'Euston', 'Rental Cars']"
51,Canary Wharf Tower,Suggested Duration Not Available,"One Canada Square, London England",Ratings Not Available,"['Canary Wharf', 'Canary Wharf', 'Rental Cars']"
52,The Golden Lion,Suggested Duration Not Available,"25 King Street St James, London SW1Y 6QY England",Ratings Not Available,"['Green Park', 'Piccadilly Circus', 'Rental Cars']"
53,Stratford Place,Suggested Duration Not Available,"Stratford Place, London England",Ratings Not Available,"['Bond St', 'Oxford Circus', 'Rental Cars']"
54,The Undercroft Chapel,Suggested Duration Not Available,"Byward Street All Hallows By The Tower, London EC3R 5BJ England",Ratings Not Available,"['Tower Hill', 'Tower Gateway', 'Rental Cars']"
55,Olympia London,Suggested Duration Not Available,"Hammersmith Road, London W14 8UX England",3.5,"['Kensington (Olympia)', 'Kensington,Olympia', 'Rental Cars']"
56,Unilever House,Suggested Duration Not Available,"Unilever House 100 Victoria Embankment, London EC4Y 0DY England",Ratings Not Available,"['Blackfriars', ""St. Paul's"", 'Rental Cars']"
57,Former City of London School,Suggested Duration Not Available,"Between John Carpenter Street And Unilever House Victoria Embankment, London EC4Y 0DY England",Ratings Not Available,"['Blackfriars', 'Temple', 'Rental Cars']"
58,One Blackfriars,Suggested Duration Not Available,"1-16 Blackfriars Road, London SE1 9GD England",Ratings Not Available,"['Blackfriars', 'Southwark', 'Rental Cars']"
59,Apsley Gate,Suggested Duration Not Available,"Hyde Park, London W2 2UH England",Ratings Not Available,"['Lancaster Gate', 'Paddington', 'Rental Cars']"
60,Tin Tabernacle,Suggested Duration Not Available,"12-16 Cambridge Avenue, London England",Ratings Not Available,"['Kilburn High Road', 'Kilburn Park', 'Rental Cars']"
61,55 Broadway,Suggested Duration Not Available,"55 Broadway TFL Headquarters over St James Park Underground Station, London SW1H 0BD England",Ratings Not Available,"['Charing Cross', 'Green Park', 'Rental Cars']"
62,HM Treasury,Suggested Duration Not Available,"1 Horse Guards Road King Charles St. y Great George St, London SW1A 2HQ England",Ratings Not Available,"['Charing Cross', 'Embankment', 'Rental Cars']"
63,Portcullis House,Suggested Duration Not Available,"Portcullis House Bridge Street, London SW1A 2LW England",Ratings Not Available,"['Embankment', 'Waterloo', 'Rental Cars']"
64,Inns of Court,Suggested Duration Not Available,"Fleet Street, London England",Ratings Not Available,"['Temple', 'Chancery Lane', 'Rental Cars']"
65,Gray's Inn,Suggested Duration Not Available,"8 South Square, London WC1R 5ET England",4,"['Chancery Lane', 'Farringdon', 'Rental Cars']"
66,The House of St Barnabas,Suggested Duration Not Available,"House of St. Barnabas in Soho 1 Greek Street off Soho Square, London W1D 4NQ England",Ratings Not Available,"['Tottenham Court Road', 'Leicester Square', 'Rental Cars']"
67,Marylebone Station,Suggested Duration Not Available,"Great Central House, Melcombe Place, London NW1 6JJ England",Ratings Not Available,"['Marylebone', 'Baker St', 'Rental Cars']"
68,Roupell Street,Suggested Duration Not Available,"Roupell street Lambeth, London SE1 8TB England",Ratings Not Available,"['Southwark', 'Waterloo', 'Rental Cars']"
69,Canada House,Suggested Duration Not Available,"Trafalgar Square, London SW1Y 5BJ England",Ratings Not Available,"['Charing Cross', 'Leicester Square', 'Rental Cars']"
70,Lancaster House,Suggested Duration Not Available,"Stable Yard, London SW1A 1BB England",Ratings Not Available,"['Green Park', 'Piccadilly Circus', 'Rental Cars']"
71,The Brunel Museum at Rotherhithe,Suggested Duration Not Available,"Railway Avenue, Rotherhithe, London SE16 4LF England",Ratings Not Available,"['Wapping', 'Beckton Park', 'Rental Cars']"
72,Corpus Christi Catholic Church,Suggested Duration Not Available,"1 Maiden Lane, London WC2E 7NB England",5,"['Covent Garden', 'Embankment', 'Rental Cars']"
73,Carlton House Terrace,Suggested Duration Not Available,"The Mall, London London W1 England",Ratings Not Available,"['Charing Cross', 'Piccadilly Circus', 'Rental Cars']"
74,St Sophia's Cathedral,Suggested Duration Not Available,"St. Sophias Church Vicarage Moscow Road Bayswater, London W2 4LQ England",Ratings Not Available,"['Bayswater', 'Queensway', 'Rental Cars']"
75,St. Gabriel's Church,Suggested Duration:< 1 hour,"Warwick Square, Pimlico, London SW1V 2AD England",4,"['Hyde Park Corner', 'Knightsbridge', 'Rental Cars']"
76,St James Garlickhythe,Suggested Duration:< 1 hour,"Garlick Hill, London EC4V 2AF England",4.5,"['Mansion House', 'Cannon St', 'Rental Cars']"
77,Billingsgate,Suggested Duration Not Available,"16 Lower Thames Street, London EC3R 6EA England",Ratings Not Available,"['Monument', 'Tower Hill', 'Rental Cars']"
78,American Memorial Chapel,Suggested Duration Not Available,"St. Paul's Cathedral, London England",4.5,"[""St. Paul's"", 'Mansion House', 'Rental Cars']"
79,Woburn Walk,Suggested Duration Not Available,"Woburn Walk, London WC1H 0JL England",Ratings Not Available,"['Euston', 'London Euston', 'Rental Cars']"
80,Red Cross Cottages & Garden,Suggested Duration Not Available,"Red Cross Garden 50 Redcross Way, London SE1 1HA England",Ratings Not Available,"['London Bridge', 'Southwark', 'Rental Cars']"
81,The Francis Crick Institute,Suggested Duration:< 1 hour,"1 Midland Road, London NW1 1AT England",4,"[""King's Cross St. Pancras"", 'Euston', 'Rental Cars']"
82,L.C.C. Fire Brigade Station Euston 1902,Suggested Duration Not Available,"Fire Station 172 Euston Road Euston Square, London NW1 2DH England",Ratings Not Available,"['Euston', 'London Euston', 'Rental Cars']"
83,Central Saint Giles,Suggested Duration Not Available,"1-13 St. Giles High Street, London WC2H 8AG England",3.5,"['Tottenham Court Road', 'Covent Garden', 'Rental Cars']"
84,St Alban's Holborn,Suggested Duration Not Available,"London, EC1N 7RD 18 Brooke Street, London EC1N 7RD England",Ratings Not Available,"['Chancery Lane', 'Farringdon', 'Rental Cars']"
85,Walpole cinema facade,Suggested Duration Not Available,"12 Mattock Lane, London W5 5BQ England",Ratings Not Available,"['Ealing Broadway', 'South Ealing', 'Rental Cars']"
86,One Hyde Park,Suggested Duration Not Available,"100 Knightsbridge, London SW1X 7LJ England",Ratings Not Available,"['Knightsbridge', 'Hyde Park Corner', 'Rental Cars']"
87,Carreras Black Cat Cigarette Factory,Suggested Duration Not Available,"Greater London House 180 Hampstead Road, London NW1 7AW England",Ratings Not Available,"['Mornington Crescent', 'London Euston', 'Rental Cars']"
88,No. 1 Poultry,Suggested Duration Not Available,"1 Poultry Street Cnr Poultry and Queen Victoria Streets, London EC2R 8EJ England",Ratings Not Available,"['Bank', 'Bank', 'Rental Cars']"
89,Carnegie Library,Suggested Duration Not Available,"192 Herne Hill Road, London SE24 0AY England",Ratings Not Available,"['Southwark', 'Waterloo', 'Rental Cars']"
90,British Academy,Suggested Duration Not Available,"10-11 Carlton House Terrace, London SW1Y 5AH England",Ratings Not Available,"['Charing Cross', 'Piccadilly Circus', 'Rental Cars']"
91,Charing Cross,Suggested Duration Not Available,Address Not Available,Ratings Not Available,['Charing Cross']
92,Trinity Hospital,Suggested Duration Not Available,"Trinity Hospital Old Woolwich Road, London SE10 9AS England",Ratings Not Available,"['North Greenwich', 'Canary Wharf', 'Rental Cars']"
93,The Danish Church of St Katharine's,Suggested Duration Not Available,"St Katharine's Precint 5, London England",Ratings Not Available,"['Mornington Crescent', 'Camden Town', 'Rental Cars']"
94,Hopton's Almshouses,Suggested Duration Not Available,"10-11 Hopton Street Hopton Gardens, London SE1 9JJ England",Ratings Not Available,"['Southwark', 'Blackfriars', 'Rental Cars']"
95,Congress House,Suggested Duration:< 1 hour,"Great Russell Street, London WC1B 3LS England",3.5,"['Tottenham Court Road', 'Holborn', 'Rental Cars']"
96,London Underwriting Centre,Suggested Duration Not Available,"3 Minster Court Mincing Lane, London EC3R 7DD England",Ratings Not Available,"['Monument', 'Tower Hill', 'Rental Cars']"
97,St. Mary-At-Finchley,Suggested Duration:< 1 hour,"Parish Office 26 Hendon Lane, London N3 1TR England",4.5,"['Finchley Central', 'West Finchley', 'Rental Cars']"
98,Warren Street Maze,Suggested Duration Not Available,"Tottenham Court Road/ Euston Road Red and Black Maze on the Station Floor., London NW1 3AA England",Ratings Not Available,"['Goodge St', 'Warren St', 'Rental Cars']"
99,Prince Henry's Room,Suggested Duration Not Available,"17 Fleet Street, London EC4Y 1AA England",Ratings Not Available,"['Temple', 'Chancery Lane', 'Rental Cars']"
100,Belgrave House,Suggested Duration:< 1 hour,"Belgrave House 76 Buckingham Palace Road, London SW1W 9AX England",4,"['Hyde Park Corner', 'Knightsbridge', 'Rental Cars']"
101,David McGillivray,Suggested Duration Not Available,"46 Park View Road, London W5 2JB England",Ratings Not Available,"['North Ealing', 'Hanger Lane', 'Rental Cars']"
103,Central Saint Gilles,Suggested Duration Not Available,"1 St Giles High St, West End, London WC2H 8AG",Ratings Not Available,['Tottenham Court Road']
104,Charing Cross Underground Station,Suggested Duration Not Available,Address Not Available,Ratings Not Available,['Charing Cross']
105,St Mary's Church,Suggested Duration Not Available,"Rotherhithe 346 Lewisham High Street St Marychurch St, London SE13 6LE England",Ratings Not Available,"['Mansion House', ""St. Paul's"", 'Rental Cars']"
106,Crosby Hall,Suggested Duration Not Available,"Crosby Hall Cheyne Walk, London SW3 5AZ England",Ratings Not Available,"['Southgate', 'Oakwood', 'Rental Cars']"
107,Millbank Tower,Suggested Duration Not Available,"21-24 Millbank, London England",Ratings Not Available,"['Waterloo', 'Embankment', 'Rental Cars']"
108,Merchant Taylors' Hall,Suggested Duration Not Available,"Merchant Taylors Hall 30 Threadneedle Street, London EC2R 8JB England",Ratings Not Available,"['Bank', 'Bank', 'Rental Cars']"
109,Swiss Cottage Library,Suggested Duration Not Available,"88 Avenue Road London NW3 3HA, London NW3 3HA England",Ratings Not Available,"['Swiss Cottage', 'Finchley Road', 'Rental Cars']"
110,Architectural Association School of Architecture,Suggested Duration Not Available,"36 Bedford Square, London WC1B 3ES England",Ratings Not Available,"['Tottenham Court Road', 'Goodge St', 'Rental Cars']"
