,Title,Suggested Duration,Address,Ratings,Transport
123,Royal Festival Hall,Suggested Duration Not Available,"Belvedere Road, London SE1 8XX England",Ratings Not Available,"['Waterloo', 'Embankment', 'Rental Cars']"
124,Under the Bridge,Suggested Duration:1-2 hours,"Stamford Bridge Fulham Road Fulham Road, London SW6 1HS England",4.5,"['Fulham Broadway', 'West Brompton', 'Rental Cars']"
125,Pizza Express Jazz Club,Suggested Duration:More than 3 hours,"10 Dean Street, London W1D 3RW England",4,"['Tottenham Court Road', 'Leicester Square', 'Rental Cars']"
126,Lyric Theatre London,Suggested Duration Not Available,"29 Shaftesbury Avenue, London W1D 7ES England",4,"['Piccadilly Circus', 'Leicester Square', 'Rental Cars']"
127,Lyric Hammersmith,Suggested Duration Not Available,"Lyric Square King Street, London W6 0QL England",Ratings Not Available,"['Hammersmith', 'Hammersmith', 'Rental Cars']"
128,Alice's Adventures Underground,Suggested Duration Not Available,"Launcelot Street, London SE1 7AD England",Ratings Not Available,"['Waterloo', 'Southwark', 'Rental Cars']"
129,Playhouse Theatre,Suggested Duration Not Available,"Northumberland Avenue, London WC2N 5DE England",Ratings Not Available,"['Embankment', 'Charing Cross', 'Rental Cars']"
130,Young Vic,Suggested Duration Not Available,"66 The Cut, London SE1 8LZ England",4.5,"['Southwark', 'Waterloo', 'Rental Cars']"
131,Charing Cross Theatre,Suggested Duration:2-3 hours,"Villiers Street The Arches, London WC2N 6NL England",4,"['Embankment', 'Charing Cross', 'Rental Cars']"
132,Theatre Royal Stratford East,Suggested Duration Not Available,"Gerry Raffles Square Stratford, London E15 1BN England",Ratings Not Available,"['Stratford', 'Stratford', 'Rental Cars']"
133,Southwark Playhouse,Suggested Duration:2-3 hours,"77-85 Newington Causeway, London SE1 6BD England",4.5,"['Southwark', 'London Bridge', 'Rental Cars']"
134,King's Head Theatre,Suggested Duration Not Available,"115 Upper Street, London N1 1QN England",Ratings Not Available,"['Highbury & Islington', 'Highbury & Islington', 'Rental Cars']"
135,Circus,Suggested Duration Not Available,"27-29 Endell Street Covent Garden, London WC2H 9BA England",4,"['Covent Garden', 'Leicester Square', 'Rental Cars']"
136,606 Club,Suggested Duration Not Available,"90 Lots Road, London SW10 0QD England",4,"['Fulham Broadway', 'West Brompton', 'Rental Cars']"
137,Changing of the Guard,Suggested Duration:1-2 hours,"Constitution Hill Buckingham Palace, London SW1A 1AA England",4,"['Green Park', 'Hyde Park Corner', 'Rental Cars']"
138,Eventim Apollo,Suggested Duration Not Available,"45 Queen Caroline Street Hammersmith, London W6 9QH England",Ratings Not Available,"['Hammersmith', 'Hammersmith', 'Rental Cars']"
139,Hampstead Theatre,Suggested Duration Not Available,"Swiss Cottage Eton Avenue Swiss Cottage, London NW3 3EU England",Ratings Not Available,"['Swiss Cottage', 'Finchley Road', 'Rental Cars']"
140,Young Frankenstein,Suggested Duration Not Available,"2 Charing Cross Road Garrick Theatre, London WC2H 0HH England",Ratings Not Available,"['Leicester Square', 'Charing Cross', 'Rental Cars']"
141,99 Club Leicester Square,Suggested Duration Not Available,"Queens House 1 Leicester Place Ruby Blue, Leicester Square, London WC2H 7BP England",Ratings Not Available,"['Leicester Square', 'Piccadilly Circus', 'Rental Cars']"
142,Magic Mike Live,Suggested Duration:2-3 hours,"Cranbourn Street, London WC2H 7JH England",4,"['Leicester Square', 'Covent Garden', 'Rental Cars']"
143,Kings Place,Suggested Duration Not Available,"Kings Place 90 York Way, London N1 9AG England",Ratings Not Available,"[""King's Cross St. Pancras"", 'Caledonian Road & Barnsbury', 'Rental Cars']"
144,Pretty Woman the Musical,Suggested Duration Not Available,"16 Denman Street Piccadilly Theatre, London W1D 7DY England",Ratings Not Available,"['Piccadilly Circus', 'Leicester Square', 'Rental Cars']"
145,Donmar Warehouse,Suggested Duration Not Available,"Wc2 41 Earlham Street, London WC2H 9LX England",Ratings Not Available,"['Covent Garden', 'Leicester Square', 'Rental Cars']"
146,Fortune Theatre,Suggested Duration Not Available,"Russell Street, London WC2B 5HH England",Ratings Not Available,"['Covent Garden', 'Holborn', 'Rental Cars']"
147,SIX The Musical,Suggested Duration Not Available,"6-7 Great Newport Street, London WC2H 7JB England",Ratings Not Available,"['Leicester Square', 'Covent Garden', 'Rental Cars']"
148,Thriller Live,Suggested Duration Not Available,"29 Shaftesbury Avenue Lyric Theatre London, London W1D 7ES England",Ratings Not Available,"['Piccadilly Circus', 'Leicester Square', 'Rental Cars']"
149,Marble Arch Theatre,Suggested Duration Not Available,"Marble Arch Hyde Park, London W1C 1CX England",Ratings Not Available,"['Marble Arch', 'Bond St', 'Rental Cars']"
150,Waitress The Musical,Suggested Duration Not Available,"Adelphi Theater, London England",Ratings Not Available,"['Covent Garden', 'Embankment', 'Rental Cars']"
151,Royal Court Theatre,Suggested Duration Not Available,"Sloane Square, London SW1W 8AS England",Ratings Not Available,"['Knightsbridge', 'Hyde Park Corner', 'Rental Cars']"
152,Mrs Henderson Presents,Suggested Duration Not Available,"St Martin's Lane Noel Coward Theatre, London WC2N 4AU England",Ratings Not Available,"['Leicester Square', 'Charing Cross', 'Rental Cars']"
153,Gillian Lynne Theatre,Suggested Duration Not Available,"166 Drury Lane, London WC2B 5PF England",Ratings Not Available,"['Covent Garden', 'Holborn', 'Rental Cars']"
154,Guys and Dolls - The Musical,Suggested Duration:2-3 hours,"110 Charing Cross Road Phoenix Theatre, London WC2R 0ET England",4.5,"['Tottenham Court Road', 'Leicester Square', 'Rental Cars']"
155,Almeida Theatre,Suggested Duration Not Available,"Almeida Street N1, London N1 1TA England",4.5,"['Highbury & Islington', 'Highbury & Islington', 'Rental Cars']"
156,When Magic Goes Wrong,Suggested Duration Not Available,"The Vaudeville Theatre, London SE10 0TW England",Ratings Not Available,"['North Greenwich', 'East India', 'Rental Cars']"
157,Pizza Express Live Holborn,Suggested Duration:More than 3 hours,"99 High Holborn, London WC1V 6LF England",4,"['Holborn', 'Chancery Lane', 'Rental Cars']"
158,An American in Paris,Suggested Duration Not Available,"Tottenham Court Road Dominion Theatre, London W1T 7AQ England",Ratings Not Available,"['Tottenham Court Road', 'Goodge St', 'Rental Cars']"
159,Chelsea,Suggested Duration Not Available,"Chelsea, London England",4,"['Knightsbridge', 'Hyde Park Corner', 'Rental Cars']"
160,English National Ballet Nutcracker,Suggested Duration Not Available,"London Coliseum St Martin's Lane, London London WC2N 4ES England",Ratings Not Available,"['Leicester Square', 'Charing Cross', 'Rental Cars']"
161,International Magic Shop,Suggested Duration:1-2 hours,"89 Clerkenwell Road, London EC1R 5BX England",5,"['Farringdon', 'Chancery Lane', 'Rental Cars']"
162,Abba: Super Troupers The Exhibition,Suggested Duration:1-2 hours,"Peninsula Square The O2, London SE10 0DX England",4.5,"['North Greenwich', 'East India', 'Rental Cars']"
