,Title,Suggested Duration,Address,Ratings,Transport
14,Royal Courts of Justice,Suggested Duration:1-2 hours,"Strand, London WC2A 2LL England",4.5,"['Temple', 'Chancery Lane', 'Rental Cars']"
15,Apsley House,Suggested Duration:1-2 hours,"Apsley House 149 Piccadilly Hyde Park Corner, London W1J 7NT England",4.5,"['Hyde Park Corner', 'Knightsbridge', 'Rental Cars']"
16,Banqueting House,Suggested Duration:1-2 hours,"Whitehall Palace Whitehall Horse Guards Avenue, London SW1A 2ER England",4.5,"['Charing Cross', 'Embankment', 'Rental Cars']"
17,Spencer House,Suggested Duration:< 1 hour,"27 St. James's Place, London SW1A 1NR England",4.5,"['Green Park', 'Piccadilly Circus', 'Rental Cars']"
18,Cutty Sark,Suggested Duration Not Available,"King William Walk Greenwich, London SE10 9HT England",Ratings Not Available,"['North Greenwich', 'Canary Wharf', 'Rental Cars']"
19,Royal Mews,Suggested Duration Not Available,"Buckingham Palace Buckingham Palace Road, London SW1W 1QH England",4.5,"['Hyde Park Corner', 'Green Park', 'Rental Cars']"
20,The Monument to the Great Fire of London,Suggested Duration:< 1 hour,"Monument St., London EC3R 8AH England",4.5,"['Monument', 'Cannon St', 'Rental Cars']"
21,Kenwood House,Suggested Duration Not Available,"Kenwood House Hampstead Lane, London NW3 7JR England",4.5,"['Golders Green', 'Hampstead Heath', 'Rental Cars']"
22,Somerset House,Suggested Duration:1-2 hours,"The Strand, London WC2R 1LA England",4.5,"['Temple', 'Covent Garden', 'Rental Cars']"
23,Abbey Road Studios,Suggested Duration Not Available,"3 Abbey Road, London NW8 9AY England",4.5,"[""St. John's Wood"", 'Maida Vale', 'Rental Cars']"
24,Clarence House,Suggested Duration Not Available,"St. James's Palace, London SW1A 2WH England",4.5,"['Green Park', 'Piccadilly Circus', 'Rental Cars']"
25,Fenton House,Suggested Duration Not Available,"Fenton House Cottage Windmill Hill Hampstead, London NW3 6RT England",Ratings Not Available,"['Hampstead', 'South Hampstead', 'Rental Cars']"
26,18 Stafford Terrace - The Sambourne Family Home,Suggested Duration Not Available,"18 Stafford Terrace, London W8 7BH England",Ratings Not Available,"['High St Kensington', 'Kensington,Olympia', 'Rental Cars']"
27,St Bride's Church,Suggested Duration:< 1 hour,"Fleet Street, London EC4Y 8AU England",4.5,"['Blackfriars', ""St. Paul's"", 'Rental Cars']"
28,St. Paul's Church (The Actors' Church),Suggested Duration Not Available,"(The Actors' Church Bedford Street Covent Garden, London WC2E 9ED England",Ratings Not Available,"['Covent Garden', 'Leicester Square', 'Rental Cars']"
29,St. Clement Danes,Suggested Duration Not Available,"Strand, London WC2R 1DH England",Ratings Not Available,"['Temple', 'Chancery Lane', 'Rental Cars']"
30,Abbey Road,Suggested Duration Not Available,"3 Abbey Road, London NW8 9AY England",4,"[""St. John's Wood"", 'Maida Vale', 'Rental Cars']"
31,Royal Observatory Greenwich,Suggested Duration Not Available,"Blackheath Avenue, London SE10 8EJ England",4,"['North Greenwich', 'Canary Wharf', 'Rental Cars']"
32,Piccadilly Circus,Suggested Duration:1-2 hours,"Piccadilly Circus, London W1J 9HS England",4,"['Piccadilly Circus', 'Leicester Square', 'Rental Cars']"
33,Horse Guards Building,Suggested Duration Not Available,"Horse Guards Whitehall, London SW1A 2AX England",Ratings Not Available,"['Charing Cross', 'Embankment', 'Rental Cars']"
34,Keats House,Suggested Duration:1-2 hours,"10 Keats Grove Hampstead, London NW3 2RR England",4.5,"['Hampstead Heath', 'Belsize Park', 'Rental Cars']"
35,Dr. Johnson's House,Suggested Duration:1-2 hours,"17 Gough Square, London EC4A 3DE England",4,"['Chancery Lane', 'Blackfriars', 'Rental Cars']"
36,Benjamin Franklin House,Suggested Duration:< 1 hour,"36 Craven Street, London WC2N 5NF England",4,"['Charing Cross', 'Embankment', 'Rental Cars']"
37,Little Venice,Suggested Duration:2-3 hours,"Regent's park, London W2 1TH England",4,"['Warwick Ave', 'Royal Oak', 'Rental Cars']"
38,Carlyle's House,Suggested Duration Not Available,"24 Cheyne Row, London SW3 5HL England",Ratings Not Available,"['Gloucester Road', 'Fulham Broadway', 'Rental Cars']"
39,Middle Temple Hall,Suggested Duration Not Available,"Middle Temple Ln., London England",Ratings Not Available,"['Temple', 'Blackfriars', 'Rental Cars']"
40,Kensington Palace,Suggested Duration:2-3 hours,"Kensington Gardens Kensington Gardens, London W8 4PX England",3.5,"['High St Kensington', 'Queensway', 'Rental Cars']"
41,Queen Elizabeth II Great Court,Suggested Duration Not Available,London England,4.5,"['Tottenham Court Road', 'Holborn', 'Rental Cars']"
42,Emery Walker Arts & Crafts house,Suggested Duration Not Available,"7 Hammersmith Terrace, London W6 9TS England",Ratings Not Available,"['Stamford Brook', 'Ravenscourt Park', 'Rental Cars']"
43,Burgh House & Hampstead Museum,Suggested Duration Not Available,"Burgh House New End Square Hampstead, London NW3 1LT England",4.5,"['South Hampstead', 'Hampstead', 'Rental Cars']"
44,St. James's Palace,Suggested Duration:1-2 hours,"Marlborough Rd, St. James's, London SW1A 1BS England",4,"['Green Park', 'Piccadilly Circus', 'Rental Cars']"
45,London's Roman Amphitheatre,Suggested Duration Not Available,"Guildhall, City of London, London EC3R 7JP England",Ratings Not Available,"['Bank', 'Bank', 'Rental Cars']"
46,Fulham Palace,Suggested Duration Not Available,"Fulham Palace Bishops Avenue Fulham, London SW6 6EA England",4,"['Putney Bridge', 'Parsons Green', 'Rental Cars']"
47,Mansion House of City of London,Suggested Duration Not Available,"Walbrook, London EC4N 8BH England",Ratings Not Available,"['Bank', 'Bank', 'Rental Cars']"
48,2 Willow Road,Suggested Duration Not Available,"Flat 2 Willow Hall 2 Willow Road Hampstead, London NW3 1TR England",4.5,"['Morden', 'Rental Cars']"
49,Lincoln's Inn,Suggested Duration Not Available,"Lincoln's Inn Fields, London WC2A 3TL England",Ratings Not Available,"['Chancery Lane', 'Holborn', 'Rental Cars']"
50,London Wall,Suggested Duration Not Available,"60 London Wall, London EC2M 5TQ England",Ratings Not Available,"['Moorgate', 'Bank', 'Rental Cars']"
51,Lambeth Palace,Suggested Duration Not Available,"Lambeth Palace Road, London SE1 7JU England",Ratings Not Available,"['Waterloo', 'Embankment', 'Rental Cars']"
52,Chiswick House,Suggested Duration Not Available,"Chiswick House Chiswick House Grounds Burlington Lane Chiswick, London W4 2RP England",Ratings Not Available,"['Turnham Green', 'Chiswick Park', 'Rental Cars']"
53,575 Wandsworth Road,Suggested Duration Not Available,"575 Wandsworth Road, London SW8 3JD England",Ratings Not Available,"['Knightsbridge', 'Hyde Park Corner', 'Rental Cars']"
54,Strand,Suggested Duration Not Available,Address Not Available,Ratings Not Available,[]
55,Haines of Sloane Square,Suggested Duration Not Available,Address Not Available,Ratings Not Available,[]
56,Inner Temple,Suggested Duration Not Available,"Inner Temple Temple, London EC4Y 7HL England",Ratings Not Available,"['Temple', 'Chancery Lane', 'Rental Cars']"
57,Sutton House,Suggested Duration Not Available,"Sutton House 2-4 Homerton High Street, London E9 6JQ England",Ratings Not Available,"['Hackney Central', 'Homerton', 'Rental Cars']"
58,Ranger's House,Suggested Duration Not Available,"Rangers House Chesterfield Walk, London SE10 8QX England",Ratings Not Available,"['North Greenwich', 'Canary Wharf', 'Rental Cars']"
59,Palace of Westminster,Suggested Duration Not Available,London SW1A 0AA England,Ratings Not Available,"['Waterloo', 'Embankment', 'Rental Cars']"
60,Southwark Park,Suggested Duration Not Available,"Rotherhithe, London England",Ratings Not Available,"['Wapping', 'Beckton Park', 'Rental Cars']"
61,Queen's Chapel of the Savoy,Suggested Duration Not Available,"Savoy Hill jcn. of The Strand, London WC2R 0DA England",4.5,"['Temple', 'Embankment', 'Rental Cars']"
62,Apothecaries' Hall,Suggested Duration Not Available,"Black Friars Lane, London England",Ratings Not Available,"['Blackfriars', ""St. Paul's"", 'Rental Cars']"
63,Winchester Palace,Suggested Duration Not Available,"Clink Street, London SE1 9DG England",Ratings Not Available,"['London Bridge', 'Cannon St', 'Rental Cars']"
64,3 Savile Row,Suggested Duration Not Available,"3 Savile Row, London W1S 3PB England",4,"['Piccadilly Circus', 'Green Park', 'Rental Cars']"
65,Stationers' Hall,Suggested Duration Not Available,"Stationers Hall Stationers Hall Court Ave Maria Lane, London EC4M 7DD England",Ratings Not Available,"[""St. Paul's"", 'Blackfriars', 'Rental Cars']"
66,The Gramophone Company Plaque,Suggested Duration Not Available,"31 Maiden Lane, London England",Ratings Not Available,"['Covent Garden', 'Leicester Square', 'Rental Cars']"
67,Temple Bar,Suggested Duration Not Available,"100 St Paul's Churchyard, London England",Ratings Not Available,"[""St. Paul's"", 'Blackfriars', 'Rental Cars']"
68,Down Street,Suggested Duration Not Available,"23 Down Street London Transport Museum - Hidden London, London W1J 7AR England",Ratings Not Available,"['Hyde Park Corner', 'Green Park', 'Rental Cars']"
69,Praed Street,Suggested Duration Not Available,"Paddington, London England",Ratings Not Available,"['Baker St', ""Regent's Park"", 'Rental Cars']"
70,Jewel Tower,Suggested Duration Not Available,"Abingdon St Westminster, London SW1P 3JX England",Ratings Not Available,"['Waterloo', 'Embankment', 'Rental Cars']"
71,Peace Pagoda,Suggested Duration Not Available,"Battersea Park, London England",Ratings Not Available,"['Fulham Broadway', 'Knightsbridge', 'Rental Cars']"
72,St John's Gate,Suggested Duration Not Available,"St John_s Lane Clerkenwell, London EC1M 4PN England",Ratings Not Available,"['Farringdon', 'Barbican', 'Rental Cars']"
73,The Undercroft Chapel,Suggested Duration Not Available,"Byward Street All Hallows By The Tower, London EC3R 5BJ England",Ratings Not Available,"['Tower Hill', 'Tower Gateway', 'Rental Cars']"
74,Van Gogh House London,Suggested Duration Not Available,"87 Hackford Road, London SW9 0RE England",Ratings Not Available,"['Waterloo', 'Southwark', 'Rental Cars']"
75,Marble Arch,Suggested Duration Not Available,Address Not Available,Ratings Not Available,[]
76,St Govor's Well,Suggested Duration Not Available,"Kensington Gardens, London W2 3XA England",Ratings Not Available,"['Queensway', 'Bayswater', 'Rental Cars']"
77,Queen Caroline Memorial,Suggested Duration Not Available,"Hyde Park Barracks, London W2 2UH England",Ratings Not Available,"['Knightsbridge', 'Hyde Park Corner', 'Rental Cars']"
78,Cloth Fair,Suggested Duration Not Available,Address Not Available,Ratings Not Available,[]
79,Brixton Windmill (Ashby's Mill),Suggested Duration Not Available,"West end of Blenheim Gardens, off Brixton Hill, London SW2 5EU England",Ratings Not Available,"['Waterloo', 'Southwark', 'Rental Cars']"
80,Unilever House,Suggested Duration Not Available,"Unilever House 100 Victoria Embankment, London EC4Y 0DY England",Ratings Not Available,"['Blackfriars', ""St. Paul's"", 'Rental Cars']"
81,Former City of London School,Suggested Duration Not Available,"Between John Carpenter Street And Unilever House Victoria Embankment, London EC4Y 0DY England",Ratings Not Available,"['Blackfriars', 'Temple', 'Rental Cars']"
82,Westminster Council House,Suggested Duration Not Available,"Manor House Marylebone Road Marylebone, London NW1 5NP England",Ratings Not Available,"['Marylebone', 'Edgware Road', 'Rental Cars']"
83,Casa de San Martin,Suggested Duration Not Available,"23 Park Road Marylebone, London NW1 6XN England",Ratings Not Available,"['Baker St', 'Marylebone', 'Rental Cars']"
84,Clerk's Well,Suggested Duration Not Available,"Well Court 14-16 Farringdon Lane, London EC1R 3AU England",Ratings Not Available,"['Farringdon', 'Chancery Lane', 'Rental Cars']"
85,31 Coventry Street,Suggested Duration Not Available,"31 Coventry Street, London England",4,"['Piccadilly Circus', 'Leicester Square', 'Rental Cars']"
86,Jewel House,Suggested Duration Not Available,Address Not Available,4.5,[]
87,Whitehall Palace,Suggested Duration Not Available,"Whitehall Palace 1529 Whitehall, London SW1A 2ER England",Ratings Not Available,"['Embankment', 'Charing Cross', 'Rental Cars']"
88,Hogarth's House,Suggested Duration Not Available,"Great West Rd Chiswick, London W4 2QN England",Ratings Not Available,"['Turnham Green', 'Chiswick Park', 'Rental Cars']"
89,Inns of Court,Suggested Duration Not Available,"Fleet Street, London England",Ratings Not Available,"['Temple', 'Chancery Lane', 'Rental Cars']"
90,Gray's Inn,Suggested Duration Not Available,"8 South Square, London WC1R 5ET England",4,"['Chancery Lane', 'Farringdon', 'Rental Cars']"
91,The House of St Barnabas,Suggested Duration Not Available,"House of St. Barnabas in Soho 1 Greek Street off Soho Square, London W1D 4NQ England",Ratings Not Available,"['Tottenham Court Road', 'Leicester Square', 'Rental Cars']"
92,Marylebone Station,Suggested Duration Not Available,"Great Central House, Melcombe Place, London NW1 6JJ England",Ratings Not Available,"['Marylebone', 'Baker St', 'Rental Cars']"
93,Shadwell Basin,Suggested Duration Not Available,"Wapping, London England",Ratings Not Available,"['Beckton Park', 'Wapping', 'Rental Cars']"
94,Statue of George V,Suggested Duration Not Available,"Abingdon St, London England",Ratings Not Available,"['Waterloo', 'Embankment', 'Rental Cars']"
95,The Brunel Museum at Rotherhithe,Suggested Duration Not Available,"Railway Avenue, Rotherhithe, London SE16 4LF England",Ratings Not Available,"['Wapping', 'Beckton Park', 'Rental Cars']"
96,Corpus Christi Catholic Church,Suggested Duration Not Available,"1 Maiden Lane, London WC2E 7NB England",5,"['Covent Garden', 'Embankment', 'Rental Cars']"
97,Carlton House Terrace,Suggested Duration Not Available,"The Mall, London London W1 England",Ratings Not Available,"['Charing Cross', 'Piccadilly Circus', 'Rental Cars']"
98,"Strand Lane 'Roman' Bath, London",Suggested Duration:< 1 hour,"5 Strand Lane, London WC2R 2NA England",3.5,"['Covent Garden', 'Embankment', 'Rental Cars']"
99,St Sophia's Cathedral,Suggested Duration Not Available,"St. Sophias Church Vicarage Moscow Road Bayswater, London W2 4LQ England",Ratings Not Available,"['Bayswater', 'Queensway', 'Rental Cars']"
100,Charter House,Suggested Duration Not Available,"The Charterhouse Charterhouse Square, London EC1M 6AS England",Ratings Not Available,"['Barbican', 'Farringdon', 'Rental Cars']"
101,Fishmongers' Hall,Suggested Duration Not Available,"Southern end of King William Street Fishmongers Hall, London EC4R 9EL England",Ratings Not Available,"['Monument', 'Cannon St', 'Rental Cars']"
102,St Andrew Holborn,Suggested Duration Not Available,"5 St. Andrew Street, London EC4A 3AF England",Ratings Not Available,"['Chancery Lane', 'Farringdon', 'Rental Cars']"
103,Chapter House and Pyx Chamber,Suggested Duration Not Available,"Abingdon Street Westminster Abbey, London, London SW1P 3PA England",Ratings Not Available,"['Waterloo', 'Embankment', 'Rental Cars']"
104,Woburn Walk,Suggested Duration Not Available,"Woburn Walk, London WC1H 0JL England",Ratings Not Available,"['Euston', 'London Euston', 'Rental Cars']"
105,St Alphage Garden with ruins of St Alphage Church,Suggested Duration Not Available,"London Wall Place, London EC2Y 5AU England",Ratings Not Available,"['Moorgate', ""St. Paul's"", 'Rental Cars']"
106,Stairway to Heaven Memorial - Bethnal Green,Suggested Duration Not Available,"Bethnal Green Tube, London England",Ratings Not Available,"['Shoreditch High St', 'Bethnal Green', 'Rental Cars']"
107,The London Loop,Suggested Duration Not Available,"Moor Park to Hatch End, London England",Ratings Not Available,"['Moorgate', 'London Liverpool St', 'Rental Cars']"
108,St Ethelburga's,Suggested Duration Not Available,"78 Bishopsgate, London EC2N 4AG England",Ratings Not Available,"['Liverpool St', 'London Liverpool St', 'Rental Cars']"
109,Charlie Chaplin' House,Suggested Duration Not Available,"39 Methley Street, London SE11 4AL England",Ratings Not Available,"['Waterloo', 'Southwark', 'Rental Cars']"
110,Downing Street,Suggested Duration Not Available,"Downing Street, London SW1A 2AL England",Ratings Not Available,"['Charing Cross', 'Embankment', 'Rental Cars']"
111,The William Morris Society,Suggested Duration:< 1 hour,"26 Upper Mall Hammersmith, London W6 9TA England",4,"['Ravenscourt Park', 'Hammersmith', 'Rental Cars']"
112,Franklin D. Roosevelt Memorial,Suggested Duration Not Available,"Grosvenor Square, London England",Ratings Not Available,"['Bond St', 'Marble Arch', 'Rental Cars']"
113,Cutler's Hall,Suggested Duration Not Available,"Cutlers Hall 4 Warwick Lane jcn. of NEWGATE STREET, London EC4M 7BR England",Ratings Not Available,"[""St. Paul's"", 'Blackfriars', 'Rental Cars']"
114,Smithfield Rotunda Garden,Suggested Duration Not Available,"West Smithfield, London EC1A 9DY England",Ratings Not Available,"['Barbican', 'Farringdon', 'Rental Cars']"
115,The Medieval Palace,Suggested Duration Not Available,"St Katharine's & Wapping Tower of London, London EC3N 4AB England",Ratings Not Available,"['Tower Hill', 'Tower Gateway', 'Rental Cars']"
116,Lanthorn Tower,Suggested Duration Not Available,Address Not Available,Ratings Not Available,[]
117,Middlesex Guildhall,Suggested Duration Not Available,"Little George St, London England",Ratings Not Available,"['Charing Cross', 'Embankment', 'Rental Cars']"
118,Richard D’Oyly Carte Monument,Suggested Duration Not Available,"Victoria Embankment Gardens, London WC2R 0BP England",Ratings Not Available,"['Temple', 'Blackfriars', 'Rental Cars']"
119,Staple Inn,Suggested Duration Not Available,"Staple Inn, London WC1V 7QH England",Ratings Not Available,"['Chancery Lane', 'Farringdon', 'Rental Cars']"
120,The Waterloo Barracks,Suggested Duration Not Available,"35 Tower Hill Tower of London, London EC3N 4DR England",Ratings Not Available,"['Tower Gateway', 'Gallions Reach', 'Rental Cars']"
121,St. Augustine's Tower,Suggested Duration Not Available,"St John's Church Road, London E8 1HT England",Ratings Not Available,"['Hackney Central', 'Hackney Downs', 'Rental Cars']"
122,Montagu Square,Suggested Duration Not Available,Address Not Available,4.5,[]
123,Queen Caroline's Temple,Suggested Duration Not Available,"Kensington Gardens, London W2 3XA England",Ratings Not Available,"['Notting Hill Gate', 'Queensway', 'Rental Cars']"
124,W. T. Stead,Suggested Duration Not Available,"Victoria Embankment Opposite Temple Place, London WC2R 2PN England",Ratings Not Available,"['Temple', 'Blackfriars', 'Rental Cars']"
125,Hopton's Almshouses,Suggested Duration Not Available,"10-11 Hopton Street Hopton Gardens, London SE1 9JJ England",Ratings Not Available,"['Southwark', 'Blackfriars', 'Rental Cars']"
126,Prince Henry's Room,Suggested Duration Not Available,"17 Fleet Street, London EC4Y 1AA England",Ratings Not Available,"['Temple', 'Chancery Lane', 'Rental Cars']"
127,The Old Church,Suggested Duration:< 1 hour,"Stoke Newington Church Street, London N16 9ES England",Ratings Not Available,"['Stoke Newington', 'Rectory Road', 'Rental Cars']"
128,Joseph Brodsky Memorial Plaque,Suggested Duration Not Available,"Gardens 20 Hampstead Hill Gardens, London NW3 2PL England",Ratings Not Available,"['Hampstead Heath', 'Belsize Park', 'Rental Cars']"
129,EMI House,Suggested Duration Not Available,"Manchester Square, London England",5,"['Bond St', 'Marble Arch', 'Rental Cars']"
130,London's First Drinking Fountain,Suggested Duration Not Available,"Giltspur Street, London EC1A 2DQ England",Ratings Not Available,"[""St. Paul's"", 'Farringdon', 'Rental Cars']"
131,T.S. Eliot Home,Suggested Duration Not Available,"3 Kensington Court Gardens, London W8 5QE England",Ratings Not Available,"['High St Kensington', 'Gloucester Road', 'Rental Cars']"
132,Tower of London Ice Rink,Suggested Duration:1-2 hours,"The Tower of London Tower Hill St Katharine's & Wapping, London EC3N 4AB England",3,"['Tower Hill', 'Tower Gateway', 'Rental Cars']"
133,Thomas Coram statue,Suggested Duration Not Available,"1 Brunswick Square, London N17 8ES England",Ratings Not Available,"['Arnos Grove', 'Southgate', 'Rental Cars']"
134,Edward III's Manor House,Suggested Duration Not Available,"20 Bermondsey Wall E, London SE16 4TT England",Ratings Not Available,"['Wapping', 'Cyprus', 'Rental Cars']"
135,Crosby Hall,Suggested Duration Not Available,"Crosby Hall Cheyne Walk, London SW3 5AZ England",Ratings Not Available,"['Southgate', 'Oakwood', 'Rental Cars']"
136,Norton Folgate Alms Houses,Suggested Duration Not Available,"Puma Court, London E1 6QG England",Ratings Not Available,"['Shoreditch High St', 'Aldgate East', 'Rental Cars']"
137,Execution Dock,Suggested Duration Not Available,"Execution Dock House 80 Wapping High Street Wapping, London E1W 2NE England",Ratings Not Available,"['Wapping', 'Cyprus', 'Rental Cars']"
138,Tomb of the Unknown Roman Girl,Suggested Duration Not Available,"18 Bury Street, London N9 7JY England",Ratings Not Available,"['Aldgate', 'Liverpool St', 'Rental Cars']"
139,Israel Zangwill's House,Suggested Duration Not Available,"288 Old Ford Raod, London England",Ratings Not Available,"['Cambridge Heath', 'Mile End', 'Rental Cars']"
140,Merchant Taylors' Hall,Suggested Duration Not Available,"Merchant Taylors Hall 30 Threadneedle Street, London EC2R 8JB England",Ratings Not Available,"['Bank', 'Bank', 'Rental Cars']"
141,New West End Synagogue,Suggested Duration Not Available,"St Petersburgh Pl,, London England",Ratings Not Available,"[""Regent's Park"", 'Bond St', 'Rental Cars']"
142,Hospitality Inn,Suggested Duration Not Available,"39 Coventry Street, London W1D 6BZ England",Ratings Not Available,"['Piccadilly Circus', 'Leicester Square', 'Rental Cars']"
