,Title,Suggested Duration,Address,Ratings,Transport
38,Clocktower Market,Suggested Duration Not Available,"166 Greenwich High Road, London SE10 8NN England",4,"['North Greenwich', 'Canary Wharf', 'Rental Cars']"
39,The Greenwich Vintage Market,Suggested Duration:1-2 hours,"2A Greenwich Church Street Opposite St Alfege Church, London SE10 9BQ England",3.5,"['North Greenwich', 'Canary Wharf', 'Rental Cars']"
40,Backyard Market,Suggested Duration:1-2 hours,"146 Brick Lane The Old Truman Brewery, London E1 6RU England",4,"['Shoreditch High St', 'Aldgate East', 'Rental Cars']"
41,Church Street,Suggested Duration Not Available,"Church Street From Edgware Road to Lisson Grove, London NW8 England",Ratings Not Available,"['Edgware Road', 'Marylebone', 'Rental Cars']"
42,Bloomsbury Farmers Market,Suggested Duration Not Available,"Torrington Square, London England",Ratings Not Available,"['Goodge St', 'Russell Square', 'Rental Cars']"
43,New Shepherd's Bush Market,Suggested Duration Not Available,"Goldhawk Road / Uxbridge Road, London W12 7JA England",Ratings Not Available,"[""Shepherd's Bush Market"", 'Goldhawk Road', 'Rental Cars']"
44,Flea at Vinegar Yard,Suggested Duration Not Available,"321, St Thomas Street, London England",Ratings Not Available,"['London Bridge', 'Monument', 'Rental Cars']"
45,Ridley Road Shopping Village,Suggested Duration Not Available,"Ridley Rd, London E8 2LH England",Ratings Not Available,"['Dalston Kingsland', 'Dalston Junction', 'Rental Cars']"
46,Loadofhay Market,Suggested Duration:More than 3 hours,"Chapel Lane Pinner Village Hall, London HA5 1AA England",4.5,"['Pinner', 'North Harrow', 'Rental Cars']"
47,The Food Market Chiswick,Suggested Duration:1-2 hours,"Market Drive Chiswick, London W4 2RX England",4.5,"['Turnham Green', 'Stamford Brook', 'Rental Cars']"
48,Brixton Market - Electric Avenue,Suggested Duration Not Available,"Brixton Road, London England",3.5,"['Waterloo', 'Southwark', 'Rental Cars']"
49,Flea at Flat Iron Square,Suggested Duration:< 1 hour,"53 Southwark Street Flat Iron Square, London SE1 1RU England",3.5,"['London Bridge', 'Southwark', 'Rental Cars']"
50,Shepherd Market,Suggested Duration Not Available,Address Not Available,Ratings Not Available,[]
51,New Caledonian Market,Suggested Duration Not Available,"Bermondsey Street, London England",Ratings Not Available,"['London Bridge', 'Monument', 'Rental Cars']"
52,Nine Elms Sunday Market,Suggested Duration Not Available,"52 Nine Elms Lane New Covent Garden Market, London SW11 8DA England",Ratings Not Available,"['Waterloo', 'Hyde Park Corner', 'Rental Cars']"
53,Chrisp Street Market,Suggested Duration Not Available,Address Not Available,Ratings Not Available,[]
54,Inverness Street Market,Suggested Duration:< 1 hour,"Inverness Street, London NW1 7HJ England",3,"['Camden Town', 'Camden Road', 'Rental Cars']"
55,Hampstead Food Market,Suggested Duration Not Available,Address Not Available,Ratings Not Available,[]
56,Ridley Road Market,Suggested Duration Not Available,"Ridley Road Opposite Dalston Kingsland train station off Kingsland High Street / A10, London E8 2NP England",Ratings Not Available,"['Dalston Kingsland', 'Dalston Junction', 'Rental Cars']"
57,Storeys,Suggested Duration Not Available,"Wood Lane Television Centre, London W12 7RJ England",Ratings Not Available,"['Wood Lane', 'White City', 'Rental Cars']"
58,Princess May School Car Boot Sale,Suggested Duration Not Available,"Barrett's Grove Princess May Primary School, London N16 8DF England",Ratings Not Available,"['Dalston Junction', 'Dalston Kingsland', 'Rental Cars']"
59,Petticoat Lane Market,Suggested Duration Not Available,"Middlesex Street, London E1 7JF England",3,"['Liverpool St', 'London Liverpool St', 'Rental Cars']"
