,Title,Suggested Duration,Address,Ratings,Transport
32,Emirates Stadium,Suggested Duration Not Available,"Hornsey Rd Holloway, London N7 7AJ England",Ratings Not Available,"['Arsenal', 'Holloway Road', 'Rental Cars']"
33,Big Ben,Suggested Duration:< 1 hour,"Parliament Sqaure Elizabeth Tower - Houses of Parliament, Westminster, London SW1A 0AA England",4.5,"['Embankment', 'Waterloo', 'Rental Cars']"
34,Lord's Cricket Ground,Suggested Duration Not Available,"Lords Cricket Ground St. Johns Wood Road, London NW8 8QN England",4.5,"[""St. John's Wood"", 'Maida Vale', 'Rental Cars']"
35,Temple Church,Suggested Duration Not Available,"The Temple King's Bench Walk, London EC4Y 7BB England",Ratings Not Available,"['Temple', 'Blackfriars', 'Rental Cars']"
36,Leake Street Arches,Suggested Duration:1-2 hours,"Leake Street, London SE1 7NN England",4.5,"['Waterloo', 'Embankment', 'Rental Cars']"
37,Freemasons' Hall,Suggested Duration:1-2 hours,"Freemasons Hall 60 Great Queen Street Covent Garden, London WC2B 5AZ England",4.5,"['Holborn', 'Covent Garden', 'Rental Cars']"
38,Craven Cottage,Suggested Duration Not Available,"Craven Cottage Stevenage Road Fulham, London SW6 6HH England",4.5,"['Putney Bridge', 'Parsons Green', 'Rental Cars']"
39,HMS Belfast,Suggested Duration Not Available,"The Queen's Walk, London SE1 2JH England",4.5,"['London Bridge', 'Tower Hill', 'Rental Cars']"
40,The Queen's Walk,Suggested Duration Not Available,"South Bank of the River Thames Se1, London England",Ratings Not Available,"['Temple', 'Waterloo', 'Rental Cars']"
41,Postman's Park,Suggested Duration Not Available,"King Edward Street, EC1, London England",Ratings Not Available,"[""St. Paul's"", 'Barbican', 'Rental Cars']"
42,Old Operating Theatre,Suggested Duration:1-2 hours,"St. Thomas's Church 9A St. Thomas Street, London SE1 9RY England",4.5,"['London Bridge', 'Monument', 'Rental Cars']"
43,Westminster Cathedral,Suggested Duration Not Available,"42 Francis Street, London SW1P 1QW England",4.5,"['Hyde Park Corner', 'Green Park', 'Rental Cars']"
44,Church of St. Bartholomew the Great,Suggested Duration Not Available,"West Smithfield, London EC1A 9DS England",Ratings Not Available,"['Barbican', 'Farringdon', 'Rental Cars']"
45,All Hallows By The Tower,Suggested Duration:< 1 hour,"Byward Street, London EC3R 5BJ England",4.5,"['Tower Hill', 'Tower Gateway', 'Rental Cars']"
46,Southwark Cathedral,Suggested Duration Not Available,"1 London Bridge Montague Close, London SE1 9DA England",Ratings Not Available,"['London Bridge', 'Monument', 'Rental Cars']"
47,St Martin-in-the-Fields,Suggested Duration:1-2 hours,"Trafalgar Square, London WC2N 4JJ England",4.5,"['Charing Cross', 'Leicester Square', 'Rental Cars']"
48,Stamford Bridge,Suggested Duration Not Available,"Stamford Bridge Fulham Road, London SW6 1HS England",Ratings Not Available,"['Fulham Broadway', 'West Brompton', 'Rental Cars']"
49,St. Katharine Docks,Suggested Duration:1-2 hours,"50 St. Katharines Way St Katherine's & Wapping, London E1W 1LA England",4.5,"['Gallions Reach', 'Tower Hill', 'Rental Cars']"
50,South Bank,Suggested Duration:More than 3 hours,"Lambeth Bridge to Blackfriars Bridge south to St George's Circus, London SE1 England",4.5,"['Waterloo', 'Embankment', 'Rental Cars']"
51,Pop Brixton,Suggested Duration Not Available,"Pop Brixton 49 Brixton Station Road, London SW9 8PQ England",Ratings Not Available,"['Waterloo', 'Southwark', 'Rental Cars']"
52,Shakespeare's Globe Theatre,Suggested Duration Not Available,"21 New Globe Walk, London SE1 9DT England",4.5,"['Mansion House', 'Cannon St', 'Rental Cars']"
53,The UK Supreme Court,Suggested Duration Not Available,"Parliament Square, London SW1P 3BD England",Ratings Not Available,"['Charing Cross', 'Embankment', 'Rental Cars']"
54,West End Theatre District,Suggested Duration Not Available,London England,4.5,"['Leicester Square', 'Covent Garden', 'Rental Cars']"
55,Guildhall,Suggested Duration Not Available,"Gresham Street, London EC2 7HH England",Ratings Not Available,"['Moorgate', 'Bank', 'Rental Cars']"
56,Animals in War Memorial,Suggested Duration Not Available,"Brook Gate, Park Lane Hyde Park, London England",Ratings Not Available,"['Marble Arch', 'Bond St', 'Rental Cars']"
57,Wesley's Chapel & Museum of Methodism,Suggested Duration:< 1 hour,"49 City Road, London EC1Y 1AU England",4.5,"['Old St', 'Moorgate', 'Rental Cars']"
58,Royal Courts of Justice,Suggested Duration:1-2 hours,"Strand, London WC2A 2LL England",4.5,"['Temple', 'Chancery Lane', 'Rental Cars']"
59,Mayfair,Suggested Duration Not Available,London England,4.5,"['Green Park', 'Piccadilly Circus', 'Rental Cars']"
60,Battle of Britain Monument,Suggested Duration:1-2 hours,"8 Victoria Embankment Victoria Embankment, London WC2R 2AB England",4.5,"['Embankment', 'Charing Cross', 'Rental Cars']"
61,Lego Shop,Suggested Duration Not Available,"3 Swiss Ct Leicester Square, London W1D 6AP England",Ratings Not Available,"['Leicester Square', 'Piccadilly Circus', 'Rental Cars']"
62,West End,Suggested Duration Not Available,London England,Ratings Not Available,"['Oxford Circus', 'Bond St', 'Rental Cars']"
63,Southwark,Suggested Duration Not Available,London England,Ratings Not Available,"['Blackfriars', 'Mansion House', 'Rental Cars']"
64,South Kensington,Suggested Duration Not Available,"Old Brompton Road, London England",4.5,"['Gloucester Road', ""Earl's Court"", 'Rental Cars']"
65,Apsley House,Suggested Duration:1-2 hours,"Apsley House 149 Piccadilly Hyde Park Corner, London W1J 7NT England",4.5,"['Hyde Park Corner', 'Knightsbridge', 'Rental Cars']"
66,Banqueting House,Suggested Duration:1-2 hours,"Whitehall Palace Whitehall Horse Guards Avenue, London SW1A 2ER England",4.5,"['Charing Cross', 'Embankment', 'Rental Cars']"
67,Eltham Palace and Gardens,Suggested Duration Not Available,"Eltham Palace Court Yard Greenwich, London SE9 5QE England",Ratings Not Available,"['Woolwich Arsenal', 'King George V', 'Rental Cars']"
68,Notting Hill,Suggested Duration Not Available,London W2 England,4.5,"['Notting Hill Gate', 'Westbourne Park', 'Rental Cars']"
69,Pineapple Dance Studios,Suggested Duration:1-2 hours,"7 Langley Street, London WC2H 9JA England",4.5,"['Covent Garden', 'Leicester Square', 'Rental Cars']"
70,Spencer House,Suggested Duration:< 1 hour,"27 St. James's Place, London SW1A 1NR England",4.5,"['Green Park', 'Piccadilly Circus', 'Rental Cars']"
71,Cutty Sark,Suggested Duration Not Available,"King William Walk Greenwich, London SE10 9HT England",Ratings Not Available,"['North Greenwich', 'Canary Wharf', 'Rental Cars']"
72,Trafalgar Square,Suggested Duration:< 1 hour,"Centre of the City, London SW1A England",4.5,"['Leicester Square', 'Covent Garden', 'Rental Cars']"
73,Royal Mews,Suggested Duration Not Available,"Buckingham Palace Buckingham Palace Road, London SW1W 1QH England",4.5,"['Hyde Park Corner', 'Green Park', 'Rental Cars']"
74,The Monument to the Great Fire of London,Suggested Duration:< 1 hour,"Monument St., London EC3R 8AH England",4.5,"['Monument', 'Cannon St', 'Rental Cars']"
75,Soho,Suggested Duration Not Available,London England,Ratings Not Available,"['Piccadilly Circus', 'Leicester Square', 'Rental Cars']"
76,Kenwood House,Suggested Duration Not Available,"Kenwood House Hampstead Lane, London NW3 7JR England",4.5,"['Golders Green', 'Hampstead Heath', 'Rental Cars']"
77,The Kia Oval,Suggested Duration:2-3 hours,"The Kia Oval Kennington Oval Kennington Oval, London SE11 5SS England",4.5,"['Waterloo', 'Southwark', 'Rental Cars']"
78,Regent Street,Suggested Duration Not Available,"London W1, London England",Ratings Not Available,"['Green Park', 'Piccadilly Circus', 'Rental Cars']"
79,Somerset House,Suggested Duration:1-2 hours,"The Strand, London WC2R 1LA England",4.5,"['Temple', 'Covent Garden', 'Rental Cars']"
80,Abbey Road Studios,Suggested Duration Not Available,"3 Abbey Road, London NW8 9AY England",4.5,"[""St. John's Wood"", 'Maida Vale', 'Rental Cars']"
81,Queen's House,Suggested Duration:< 1 hour,"Romney Road Greenwich, London SE10 9NF England",4.5,"['North Greenwich', 'Canary Wharf', 'Rental Cars']"
82,Cenotaph,Suggested Duration Not Available,"Whitehall, London England",Ratings Not Available,"['Charing Cross', 'Embankment', 'Rental Cars']"
83,Brick Lane,Suggested Duration Not Available,"Brick Lane Police Station 25 Brick Lane, London E1 6PU England",4.5,"['Shoreditch High St', 'Aldgate East', 'Rental Cars']"
84,Crossrail Place Roof Garden,Suggested Duration Not Available,"Crossrail Place Canary Wharf, London E14 5AR England",Ratings Not Available,"['Canary Wharf', 'Poplar', 'Rental Cars']"
85,Clarence House,Suggested Duration Not Available,"St. James's Palace, London SW1A 2WH England",4.5,"['Green Park', 'Piccadilly Circus', 'Rental Cars']"
86,Camden Locks Canalside,Suggested Duration Not Available,London NW18AF England,Ratings Not Available,"['Camden Town', 'Camden Road', 'Rental Cars']"
87,Horse Guards Parade at Whitehall,Suggested Duration Not Available,"Horse Guards Whitehall, London SW1A 2AX England",4.5,"['Charing Cross', 'Embankment', 'Rental Cars']"
88,St. Pancras International Station,Suggested Duration:1-2 hours,"St. Pancras Station Euston Road, London N1C 4QP England",4.5,"[""King's Cross St. Pancras"", 'Euston', 'Rental Cars']"
89,Fenton House,Suggested Duration Not Available,"Fenton House Cottage Windmill Hill Hampstead, London NW3 6RT England",Ratings Not Available,"['Hampstead', 'South Hampstead', 'Rental Cars']"
90,30 St Mary Axe (The Gherkin),Suggested Duration Not Available,"30 St. Mary Axe, London EC3A 8EP England",Ratings Not Available,"['Aldgate', 'Liverpool St', 'Rental Cars']"
91,Kensington,Suggested Duration Not Available,London England,Ratings Not Available,"['Queensway', 'High St Kensington', 'Rental Cars']"
92,Golden Hinde,Suggested Duration:< 1 hour,"St. Mary Overies Dock Cathedral Street Cathedral St., London SE1 9DE England",4.5,"['London Bridge', 'Monument', 'Rental Cars']"
93,Whitehall,Suggested Duration Not Available,"Government London, London SW1A 2BX England",Ratings Not Available,"['Charing Cross', 'Embankment', 'Rental Cars']"
94,Tardis Police Box,Suggested Duration Not Available,"236 Earls Court Road Kensington, London SW5 9AA England",Ratings Not Available,"[""Earl's Court"", 'West Brompton', 'Rental Cars']"
95,Canary Wharf,Suggested Duration Not Available,London England,Ratings Not Available,"['Canary Wharf', 'Canary Wharf', 'Rental Cars']"
96,Victoria Embankment,Suggested Duration Not Available,"Victoria Embankment, London WC2N 6PB England",Ratings Not Available,"['Embankment', 'Charing Cross', 'Rental Cars']"
97,Carnaby Street,Suggested Duration:2-3 hours,"Soho, London W1F England",4,"['Oxford Circus', 'Piccadilly Circus', 'Rental Cars']"
98,Royal Academy of Arts,Suggested Duration Not Available,"Burlington House Piccadilly Piccadilly, London W1J 0BD England",4.5,"['Green Park', 'Piccadilly Circus', 'Rental Cars']"
99,"County Hall, London",Suggested Duration Not Available,"Belvedere Road, London SE1 7PB England",4.5,"['Waterloo', 'Embankment', 'Rental Cars']"
100,Seven Dials,Suggested Duration:More than 3 hours,"Seven Dials Covent Garden, London WC2 England",4.5,"['Covent Garden', 'Leicester Square', 'Rental Cars']"
101,Queen Victoria Memorial,Suggested Duration Not Available,"The Mall, London England",Ratings Not Available,"['Green Park', 'Hyde Park Corner', 'Rental Cars']"
102,Millennium Bridge,Suggested Duration:1-2 hours,"Thames Embankment, London SE1 9JE England",4,"['Blackfriars', 'Mansion House', 'Rental Cars']"
103,18 Stafford Terrace - The Sambourne Family Home,Suggested Duration Not Available,"18 Stafford Terrace, London W8 7BH England",Ratings Not Available,"['High St Kensington', 'Kensington,Olympia', 'Rental Cars']"
104,The Crossness Pumping Station,Suggested Duration Not Available,"Belvedere Road The Old Works, London SE2 9AQ England",4.5,"['Angel', 'Becontree', 'Rental Cars']"
105,The Shard,Suggested Duration Not Available,"The Shard 32 London Bridge Street, London SE1 9SG England",Ratings Not Available,"['London Bridge', 'Monument', 'Rental Cars']"
106,Albert Memorial,Suggested Duration Not Available,"Princes Gate Kensington Gore, London W8 England",4.5,"['Gloucester Road', 'Knightsbridge', 'Rental Cars']"
107,Parliament Square,Suggested Duration Not Available,"Westminster, London SW1P 3BD England",Ratings Not Available,"['Waterloo', 'Embankment', 'Rental Cars']"
108,Millwall Football Club Stadium,Suggested Duration:2-3 hours,"The New Den Zampa Road Millwall Football Club, The Den, London SE16 3LN England",4.5,[]
109,The Mall,Suggested Duration Not Available,"The Mall, London London SW1 England",Ratings Not Available,"['Charing Cross', 'Piccadilly Circus', 'Rental Cars']"
110,St Bride's Church,Suggested Duration:< 1 hour,"Fleet Street, London EC4Y 8AU England",4.5,"['Blackfriars', ""St. Paul's"", 'Rental Cars']"
111,Leicester Square,Suggested Duration:2-3 hours,"Leicester Square, London England",4,"['Leicester Square', 'Piccadilly Circus', 'Rental Cars']"
112,Bond Street,Suggested Duration Not Available,London England,4.5,"['Bond St', 'Oxford Circus', 'Rental Cars']"
113,Oxford Street,Suggested Duration:2-3 hours,"Oxford Street, London W1W 8LG England",4,"['Tottenham Court Road', 'Goodge St', 'Rental Cars']"
114,Saint Margaret's Church on Parliament Square,Suggested Duration:1-2 hours,"Westminster Abbey 20 Dean's Yard, London SW1P 3JX England",4.5,"['Charing Cross', 'Green Park', 'Rental Cars']"
115,Brompton Cemetery,Suggested Duration Not Available,"Fulham Road, London SW10 9UG England",Ratings Not Available,"['Fulham Broadway', 'West Brompton', 'Rental Cars']"
116,St. Paul's Church (The Actors' Church),Suggested Duration Not Available,"(The Actors' Church Bedford Street Covent Garden, London WC2E 9ED England",Ratings Not Available,"['Covent Garden', 'Leicester Square', 'Rental Cars']"
117,St. Clement Danes,Suggested Duration Not Available,"Strand, London WC2R 1DH England",Ratings Not Available,"['Temple', 'Chancery Lane', 'Rental Cars']"
118,The London Oratory,Suggested Duration Not Available,"Brompton Road S. Kensington, London SW7 2RP England",Ratings Not Available,"['Knightsbridge', 'Gloucester Road', 'Rental Cars']"
119,ArcelorMittal Orbit,Suggested Duration Not Available,"The Podium 5 Thornton Street Queen Elizabeth Olympic Park, London E20 2AD England",Ratings Not Available,"['West Ham', 'Pudding Mill Lane', 'Rental Cars']"
120,Abbey Road,Suggested Duration Not Available,"3 Abbey Road, London NW8 9AY England",4,"[""St. John's Wood"", 'Maida Vale', 'Rental Cars']"
121,St. Christopher's Place,Suggested Duration Not Available,London England,Ratings Not Available,"['Bond St', 'Oxford Circus', 'Rental Cars']"
122,Knightsbridge,Suggested Duration Not Available,London England,4,"['Knightsbridge', 'Hyde Park Corner', 'Rental Cars']"
123,Royal Observatory Greenwich,Suggested Duration Not Available,"Blackheath Avenue, London SE10 8EJ England",4,"['North Greenwich', 'Canary Wharf', 'Rental Cars']"
124,Piccadilly Circus,Suggested Duration:1-2 hours,"Piccadilly Circus, London W1J 9HS England",4,"['Piccadilly Circus', 'Leicester Square', 'Rental Cars']"
125,King's Cross Station,Suggested Duration Not Available,"Euston Road, London N1 9AP England",Ratings Not Available,"[""King's Cross St. Pancras"", 'Euston', 'Rental Cars']"
126,Nelson's Column,Suggested Duration Not Available,"Trafalgar Square, London England",4,"['Charing Cross', 'Embankment', 'Rental Cars']"
127,Chiswick,Suggested Duration Not Available,London W4 England,4.5,"['Chiswick Park', 'Gunnersbury', 'Rental Cars']"
128,Pimlico,Suggested Duration Not Available,London England,4.5,"['Hyde Park Corner', 'Waterloo', 'Rental Cars']"
129,Paddington Station,Suggested Duration Not Available,"Praed St, London W2 1 HQ England",Ratings Not Available,"['Paddington', 'Lancaster Gate', 'Rental Cars']"
130,Brixton,Suggested Duration Not Available,London SW9 8HE England,4,"['Waterloo', 'Southwark', 'Rental Cars']"
131,Mudchute Park & Farm,Suggested Duration Not Available,"Pier Street Isle of Dogs, London E14 3HP England",4,"['North Greenwich', 'Canary Wharf', 'Rental Cars']"
132,Golden Jubilee Bridges,Suggested Duration Not Available,"Victoria Embankment, WC2N 6NU Southbank, London England",Ratings Not Available,"['Embankment', 'Charing Cross', 'Rental Cars']"
133,Winston Churchill Statue,Suggested Duration Not Available,"Parliament Square Westminster, London SW1P 3BD England",Ratings Not Available,"['Embankment', 'Charing Cross', 'Rental Cars']"
134,King's Cross,Suggested Duration Not Available,London England,4,"[""King's Cross St. Pancras"", 'Euston', 'Rental Cars']"
135,BFI Southbank,Suggested Duration Not Available,"Belvedere Road South Bank Waterloo, London SE1 8XT England",Ratings Not Available,"['Temple', 'Waterloo', 'Rental Cars']"
136,St James's Church,Suggested Duration Not Available,"197 Piccadilly, London W1J 9LL England",Ratings Not Available,"['Piccadilly Circus', 'Green Park', 'Rental Cars']"
137,City Hall,Suggested Duration Not Available,"City Hall 110 The Queens Walk, London SE1 2AA England",4,"['London Bridge', 'Tower Hill', 'Rental Cars']"
138,Greenwich Foot Tunnel,Suggested Duration Not Available,"Cutty Sark Gardens Greenwich, London SE10 9HT England",Ratings Not Available,"['North Greenwich', 'Canary Wharf', 'Rental Cars']"
139,Horse Guards Building,Suggested Duration Not Available,"Horse Guards Whitehall, London SW1A 2AX England",Ratings Not Available,"['Charing Cross', 'Embankment', 'Rental Cars']"
140,Granary Square,Suggested Duration Not Available,"4 Stable Street, London N1C 4AB England",Ratings Not Available,"[""King's Cross St. Pancras"", 'Mornington Crescent', 'Rental Cars']"
141,Wellington Arch,Suggested Duration:< 1 hour,"1 Apsley Way Piccadilly, Hyde Park Corner Roundabout, London W2 2UH England",4,"['Hyde Park Corner', 'Knightsbridge', 'Rental Cars']"
142,Admiralty Arch,Suggested Duration Not Available,"Admiralty Arch The Mall Cockspur Street, Trafalgar Square, London SW1A 2WH England",4,"['Charing Cross', 'Embankment', 'Rental Cars']"
143,Somerset House Ice Rink,Suggested Duration Not Available,"Somerset House, The Strand, London England",Ratings Not Available,"['Charing Cross', 'Embankment', 'Rental Cars']"
144,Albert Bridge,Suggested Duration Not Available,London England,4.5,"['Gloucester Road', 'Fulham Broadway', 'Rental Cars']"
145,St Pancras Old Church,Suggested Duration:< 1 hour,"Pancras Road, London NW1 1UL England",4.5,"[""King's Cross St. Pancras"", 'Mornington Crescent', 'Rental Cars']"
146,Peter Pan Statue,Suggested Duration Not Available,"Kensington Garden west of the Long Water, London England",Ratings Not Available,"['Lancaster Gate', 'Paddington', 'Rental Cars']"
147,Keats House,Suggested Duration:1-2 hours,"10 Keats Grove Hampstead, London NW3 2RR England",4.5,"['Hampstead Heath', 'Belsize Park', 'Rental Cars']"
148,Jermyn Street,Suggested Duration Not Available,London England,4.5,"['Piccadilly Circus', 'Green Park', 'Rental Cars']"
149,Vauxhall City Farm,Suggested Duration:2-3 hours,"165 Tyers Street, London SE11 5HS England",4.5,"['Waterloo', 'Southwark', 'Rental Cars']"
150,Queen Elizabeth Olympic Park,Suggested Duration Not Available,"Olympic Stadium O Olympic Stadium Stratford Station, London E20 2ST England",4,"['Hackney Wick', 'West Ham', 'Rental Cars']"
151,Bayswater,Suggested Duration Not Available,London England,4,"['Bayswater', 'Queensway', 'Rental Cars']"
152,Old Bailey,Suggested Duration Not Available,"Old Bailey, London EC4M 7EH England",Ratings Not Available,"[""St. Paul's"", 'Blackfriars', 'Rental Cars']"
153,Dr. Johnson's House,Suggested Duration:1-2 hours,"17 Gough Square, London EC4A 3DE England",4,"['Chancery Lane', 'Blackfriars', 'Rental Cars']"
154,Benjamin Franklin House,Suggested Duration:< 1 hour,"36 Craven Street, London WC2N 5NF England",4,"['Charing Cross', 'Embankment', 'Rental Cars']"
155,Russell Square,Suggested Duration Not Available,"Russell Square, London WC1B 5EH England",4,"['Russell Square', 'Goodge St', 'Rental Cars']"
156,Camden,Suggested Duration Not Available,London England,Ratings Not Available,"['Camden Town', 'Camden Road', 'Rental Cars']"
157,Waterloo Bridge,Suggested Duration Not Available,London SE1 9PX England,4,"['Temple', 'Embankment', 'Rental Cars']"
158,Boadicea Monument,Suggested Duration Not Available,"Westminster Bridge, London England",Ratings Not Available,"['Waterloo', 'Embankment', 'Rental Cars']"
159,Little Venice,Suggested Duration:2-3 hours,"Regent's park, London W2 1TH England",4,"['Warwick Ave', 'Royal Oak', 'Rental Cars']"
160,Kensington High Street,Suggested Duration Not Available,"Kensington High Street Station Kensington High Street, London W8 5SA England",Ratings Not Available,"['High St Kensington', 'Notting Hill Gate', 'Rental Cars']"
161,Alexandra Palace,Suggested Duration Not Available,"Alexandra Palace Wood Green, London N22 7AY England",4,"['Wood Green', 'Bounds Green', 'Rental Cars']"
162,Cleopatra's Needle,Suggested Duration Not Available,"Thames Embankment, London England",Ratings Not Available,"['Embankment', 'Charing Cross', 'Rental Cars']"
163,Women of World War II Memorial,Suggested Duration Not Available,"Whitehall What3words: Zips.scared.forms, London SW1 England",Ratings Not Available,"['Charing Cross', 'Embankment', 'Rental Cars']"
164,Diana Princess of Wales Memorial Fountain,Suggested Duration Not Available,"Hyde Park, London W2 2UH England",Ratings Not Available,"['Lancaster Gate', 'Paddington', 'Rental Cars']"
165,St. Stephen Walbrook,Suggested Duration Not Available,"39 Walbrook, London EC4N 8BN England",4.5,"['Bank', 'Bank', 'Rental Cars']"
166,Carlyle's House,Suggested Duration Not Available,"24 Cheyne Row, London SW3 5HL England",Ratings Not Available,"['Gloucester Road', 'Fulham Broadway', 'Rental Cars']"
167,Boleyn Ground,Suggested Duration Not Available,"Boleyn Ground Green Street, London E13 9AZ England",Ratings Not Available,"['Upton Park', 'East Ham', 'Rental Cars']"
168,Hatton Garden,Suggested Duration Not Available,London EC1N 8SQ England,Ratings Not Available,"['Farringdon', 'Chancery Lane', 'Rental Cars']"
169,Earl's Court,Suggested Duration Not Available,"Exhibition Centre Warwick Road, London SW5 9TA England",4,"[""Earl's Court"", 'West Brompton', 'Rental Cars']"
170,Severndroog Castle,Suggested Duration:1-2 hours,"Shooters Hill Road Castle Wood, London SE18 3RT England",4.5,"['Woolwich Arsenal', 'King George V', 'Rental Cars']"
171,Blackfriars Bridge,Suggested Duration Not Available,London England,4,"['Blackfriars', 'Temple', 'Rental Cars']"
172,Shad Thames,Suggested Duration Not Available,London England,Ratings Not Available,"['Gallions Reach', 'Tower Hill', 'Rental Cars']"
173,Middle Temple Hall,Suggested Duration Not Available,"Middle Temple Ln., London England",Ratings Not Available,"['Temple', 'Blackfriars', 'Rental Cars']"
174,Lloyds of London,Suggested Duration Not Available,"London, Greater London Ec3m 7ha 1 Lime Street Jcn, of LEADENHALL STREET, London EC3M 7HA England",Ratings Not Available,"['Monument', 'Aldgate', 'Rental Cars']"
175,The Crystal,Suggested Duration Not Available,"The Crystal 1 Siemens Brothers Way Royal Victoria Docks, London E16 1GB England",Ratings Not Available,"['Royal Victoria', 'Canning Town', 'Rental Cars']"
